,Party,sent_pm_district_ratio,sent_pm_partylist_ratio,social_media_followers_scaled,branch_scaled,representative_scaled,member_scaled,trends_scaled,past_pm,KMeans_Cluster,PCA_Index,small
0,กรีน,0.005,0.12,0.6520961500943546,0.23333333333333334,0.0410958904109589,0.49313963584804454,0.00648508430609598,0.0,2,0.13735486199378039,1.0
1,กล้าธรรม,0.835,1.0,0.8364101159933948,0.2,0.958904109589041,1.0,0.3735408560311284,1.0,1,0.9009382453480446,0.0
2,ก้าวอิสระ,0.015,0.15,0.6689569957099238,0.0,0.0,0.0,0.0,0.0,2,0.10032285299110491,1.0
3,ครูไทยเพื่อประชาชน,0.0025,0.22,0.0,0.2,0.0410958904109589,0.5980359382403742,0.0,0.0,0,0.05268477235041532,1.0
4,คลองไทย,0.005,0.16,0.5208133444779541,0.13333333333333333,0.0,0.6966213872509285,0.0,0.0,2,0.12538757396580427,1.0
5,ความหวังใหม่,0.0025,0.08,0.0,0.16666666666666666,0.0273972602739726,0.49909888364798627,0.0038910505836575876,0.0,0,0.018355096479306235,1.0
6,ทางเลือกใหม่,0.1075,0.2,0.5962480016937025,0.8333333333333334,0.0410958904109589,0.7047196807692203,0.0609597924773022,0.0,2,0.19739007581844117,0.0
7,ท้องที่ไทย,0.005,0.08,0.0,0.16666666666666666,0.0273972602739726,0.5334637838939741,0.0,0.0,0,0.0206184114500755,1.0
8,ประชากรไทย,0.105,0.18,0.6537298183973363,0.5,0.273972602739726,0.6160656549898664,0.016861219195849545,0.0,2,0.22361037263947026,0.0
9,ประชาชน,1.0,0.99,0.9665781713880786,0.2,0.9726027397260274,0.8931596996497023,0.7561608300907912,1.0,1,0.9864398374202658,0.0
10,ประชาชาติ,0.0375,0.37,0.8382936958561323,0.36666666666666664,0.0410958904109589,0.6744620847544885,0.2788586251621271,0.0,2,0.26342088576987693,0.0
11,ประชาธิปัตย์,1.0,0.98,1.0,1.0,0.7123287671232876,0.7831111724995574,0.7496757457846952,1.0,1,0.959514668218961,0.0
12,ประชาธิปไตยใหม่,0.175,0.21,0.35923199941913053,0.5333333333333333,0.2191780821917808,0.8074953380948074,0.0025940337224383916,0.0,2,0.19509019931910418,0.0
13,ประชาอาสาชาติ,0.0025,0.03,0.3131884612777914,0.13333333333333333,0.0547945205479452,0.38776727083961354,0.0,0.0,0,0.057109073053527463,1.0
14,ประชาไทย,0.0025,0.09,0.0,0.23333333333333334,0.0684931506849315,0.5242035536928964,0.00648508430609598,0.0,0,0.031201716341358883,1.0
15,ปวงชนไทย,0.24,0.41,0.8078963315307954,0.13333333333333333,0.2876712328767123,0.6022773077264675,0.01297016861219196,0.0,2,0.30408506333000523,0.0
16,พร้อม,0.01,0.09,0.7932605329190581,0.3,0.0958904109589041,0.5005643579533073,0.020752269779507133,0.0,2,0.169690723110713,0.0
17,พลวัต,0.1575,0.24,0.6288962544435582,0.13333333333333333,0.0273972602739726,0.5426044156001603,0.011673151750972763,0.0,2,0.18013619691123559,0.0
18,พลังธรรมใหม่,0.0025,0.05,0.8097635935578081,0.1,0.0410958904109589,0.5106856120960735,0.0012970168612191958,0.0,2,0.1471328518344867,0.0
19,พลังประชารัฐ,0.4975,0.35,0.9487198556784618,0.13333333333333333,0.726027397260274,0.8322335161698904,0.04409857328145266,1.0,1,0.6549824022047029,0.0
20,พลังสังคมใหม่,0.005,0.04,0.5427526521550338,0.2,0.0684931506849315,0.5176608472044997,0.0,0.0,2,0.10989633194423228,1.0
21,พลังเพื่อไทย,0.0025,0.04,0.45359781315658115,0.16666666666666666,0.0136986301369863,0.49693893313830473,0.10376134889753567,0.0,2,0.09411449345195122,1.0
22,พลังไทยรักชาติ,0.005,0.02,0.0,0.13333333333333333,0.0136986301369863,0.5001991667839182,0.0,0.0,0,0.0043979124689243745,1.0
23,ฟิวชัน,0.015,0.13,0.4168763572473733,0.2,0.0821917808219178,0.6281982213422952,0.07911802853437094,0.0,2,0.12519387903322546,1.0
24,ภูมิใจไทย,0.985,0.98,0.8874989018718041,0.13333333333333333,1.0,0.7990240812779867,0.47341115434500647,1.0,1,0.9350749509866193,0.0
25,มิติใหม่,0.005,0.12,0.5304060321025444,0.16666666666666666,0.0547945205479452,0.4864703538038268,0.0,0.0,2,0.11669512212331368,1.0
26,รวมพลัง,0.0025,0.0,0.0,0.23333333333333334,0.0136986301369863,0.4953165243613239,0.25810635538262,0.0,0,0.030978500531127696,1.0
27,รวมพลังประชาชน,0.01,0.1,0.5388680507501503,0.13333333333333333,0.0410958904109589,0.36896671285068877,0.05058365758754864,0.0,2,0.1098425101499972,1.0
28,รวมใจไทย,0.01,0.12,0.0,0.13333333333333333,0.0273972602739726,0.42944065597551484,0.023346303501945526,0.0,0,0.023384934817561442,1.0
29,รวมไทยสร้างชาติ,0.6225,1.0,0.874142034979131,0.16666666666666666,0.726027397260274,0.5182785636837653,0.1621271076523995,1.0,1,0.7735385976623561,0.0
30,รักชาติ,0.08,0.25,0.7479280093688041,0.13333333333333333,0.0821917808219178,0.4971251460675571,0.3450064850843061,0.0,2,0.23075011188263708,0.0
31,รักษ์ธรรม,0.0025,0.0,0.0,0.13333333333333333,0.0136986301369863,0.4940737327592807,0.0,0.0,0,0.0,1.0
32,วิชชั่นใหม่,0.0625,0.28,0.0,0.13333333333333333,0.0273972602739726,0.5070369380670133,0.0,0.0,0,0.06360016912774923,1.0
33,สร้างอนาคตไทย,0.0025,0.1,0.3122608809260714,0.13333333333333333,0.0273972602739726,0.502032432779608,0.01556420233463035,0.0,0,0.07375946797387892,1.0
34,สังคมประชาธิปไตยไทย,0.0075,0.08,0.5802114889304365,0.16666666666666666,0.0136986301369863,0.5227948549606463,0.0,0.0,2,0.11335511139549685,1.0
35,สัมมาธิปไตย,0.0025,0.0,0.0,0.13333333333333333,0.0958904109589041,0.5201997306257776,0.0,0.0,0,0.01615914499965544,1.0
36,อนาคตไทย,0.0125,0.01,0.4661576001946232,0.13333333333333333,0.0136986301369863,0.4903708416569676,0.020752269779507133,0.0,2,0.08219365912381839,1.0
37,เครือข่ายชาวนาแห่งประเทศไทย,0.005,0.06,0.0,0.13333333333333333,0.0547945205479452,0.4902578589339637,0.0,0.0,0,0.01809118056002778,1.0
38,เป็นธรรม,0.005,0.23,0.7307900666024135,0.16666666666666666,0.0273972602739726,0.482495580411577,0.007782101167315175,0.0,2,0.16498762186365248,0.0
39,เพื่อชาติไทย,0.0025,0.06,0.0,0.13333333333333333,0.0136986301369863,0.42066618046364446,0.0324254215304799,0.0,0,0.009396389323757647,1.0
40,เพื่อชีวิตใหม่,0.0025,0.04,0.1843851802988699,0.16666666666666666,0.0273972602739726,0.5611009489599369,0.019455252918287938,0.0,0,0.047300195690963186,1.0
41,เพื่อบ้านเมือง,0.1075,0.44,0.0,0.2,0.1917808219178082,0.3904531983330373,0.0,0.0,0,0.12315471932078662,1.0
42,เพื่อไทย,0.995,1.0,0.9931484932152199,0.3333333333333333,0.9041095890410958,0.7406032960250076,1.0,1.0,1,1.0,0.0
43,เศรษฐกิจ,0.6575,0.63,0.9415743416544277,0.13333333333333333,0.7808219178082192,0.5831570324167267,0.47600518806744485,0.0,1,0.574110971232542,0.0
44,เสรีรวมไทย,0.0525,0.43,0.8859189225823849,0.13333333333333333,0.4246575342465753,0.6739342412454497,0.14396887159533073,1.0,1,0.5284000119411959,0.0
45,แผ่นดินธรรม,0.0025,0.09,0.0,0.13333333333333333,0.0136986301369863,0.4976516492626666,0.0,0.0,0,0.016250019834230106,1.0
46,แรงงานสร้างชาติ,0.03,0.16,0.4517442837382426,0.13333333333333333,0.1095890410958904,0.4623431402300234,0.0,0.0,2,0.12235722453781651,1.0
47,โอกาสใหม่,0.1825,0.33,0.695890346739842,0.26666666666666666,0.2465753424657534,0.752016215002154,0.020752269779507133,0.0,2,0.2686027276575926,0.0
48,ใหม่,0.005,0.41,0.816782393701414,0.13333333333333333,0.0410958904109589,0.4358654508964934,0.880674448767834,0.0,2,0.3043191365311389,0.0
49,ไทยก้าวหน้า,0.0125,0.14,0.48404055941279966,0.23333333333333334,0.0684931506849315,0.26222570645359333,0.0,0.0,2,0.10360549416827729,1.0
50,ไทยก้าวใหม่,0.34,0.6,0.9065992942130531,0.13333333333333333,0.5068493150684932,0.5508281435428756,0.005188067444876783,0.0,2,0.4059785060855874,0.0
51,ไทยชนะ,0.0075,0.28,0.0,0.16666666666666666,0.0547945205479452,0.5032038590674729,0.17639429312581065,0.0,0,0.07863464218092416,1.0
52,ไทยทรัพย์ทวี,0.015,0.03,0.0,0.13333333333333333,0.0547945205479452,0.38691178663912784,0.019455252918287938,0.0,0,0.009858202943015829,1.0
53,ไทยธรรม,0.0075,0.08,0.5624718747396413,0.26666666666666666,0.0136986301369863,0.6282557977532601,0.010376134889753566,0.0,2,0.12133947431516363,1.0
54,ไทยพร้อม,0.03,0.1,0.49664606122494126,0.16666666666666666,0.0410958904109589,0.48263069989574076,0.0,0.0,2,0.10930710081691808,1.0
55,ไทยพิทักษ์ธรรม,0.0125,0.1,0.4008353528423896,0.3333333333333333,0.0273972602739726,0.5090012754628876,0.0,0.0,2,0.09459771400551911,1.0
56,ไทยภักดี,0.1,0.24,0.9212856910887325,0.26666666666666666,0.0684931506849315,0.5316362726551893,0.08430609597924774,0.0,2,0.2363653958036583,0.0
57,ไทยรวมไทย,0.0025,0.04,0.4177424698913303,0.13333333333333333,0.0136986301369863,0.47335048787004314,0.5006485084306096,0.0,2,0.12880246393308145,1.0
58,ไทยสร้างไทย,0.175,0.79,0.9044096964189392,0.16666666666666666,0.3835616438356164,0.6872866590216411,0.07782101167315175,0.0,2,0.4066032815672201,0.0
59,ไทรวมพลัง,0.0275,0.15,0.7748627217458518,0.23333333333333334,0.0547945205479452,0.7975058982785722,0.23605706874189364,0.0,2,0.2140604905815365,0.0
